b.whr.1,b.whr.2,b.whr.3,b.whr.4,b.whr.5,b.whr.6,b.whr.7,b.whr.8,b.whr.9,b.whr.10,b.age,b.agesev,b.agesq,b.elev,b.elevsq,b.elevlat,b.lat,b.patch,b.precc,b.pyro,b.sev,b.fir,b.agefir,f.season,f.size,f0,b0
-0.02185905,-0.043922964,-0.056189854,-0.215221104,-0.022832477,-0.057893341,0.055384951,-0.041638092,0.000167998,0.026557267,-0.750685028,-0.150176166,0.044964506,1.515793027,-0.340222994,-0.004762091,1.016693755,-0.134770889,0.091482566,0.130380515,0.290327397,0.197576155,0.018652508,0.087385236,0.021595919,-2.28163621,-2.184363173
-0.078847464,-0.500360788,-0.046249137,0.101917925,-0.083509897,0.015377668,0.333307465,-0.078215822,0.024351729,0.085903877,-0.789442408,-0.12232556,0.160888392,0.930038892,-0.329284248,-0.399586374,0.981126887,-0.090323968,0.112735741,0.187883029,0.308943247,0.214382693,0.126484853,0.560141682,-0.370846357,-2.529469619,-2.614996338
0.031242672,0.003234811,0.02842682,0.011406574,-0.017805472,-0.006442062,-0.022893383,0.012536241,-0.020056773,0.004004418,-0.879144684,-0.180265074,0.105376877,1.371479495,-0.053379605,0.084749335,1.274226737,-0.10783088,0.113478641,0.075427826,0.271436092,0.135659877,0.148663258,0.813829618,-0.264682797,-2.600991619,-2.502046342
-0.014405395,-0.167587988,0.605000371,0.124268959,-0.080238303,-0.360756988,0.222332996,0.074894288,0.108750448,0.295530217,-0.689527064,-0.238979229,0.190287383,1.302340655,-0.126359463,-0.015648654,1.225921664,-0.146441819,0.111000647,0.18200729,0.308309337,0.196083031,0.110647926,0.484916755,0.118186782,-2.93325931,-2.759349107
-0.082779162,-0.094113578,0.051597668,-0.034699102,-0.097350219,-0.116401669,0.135221581,0.120875142,0.002060066,0.007035385,-0.742156642,-0.126631604,0.140221921,1.531206701,-0.290408054,0.194660723,1.279009413,-0.121203703,0.176769671,0.095492041,0.202559147,0.209084762,0.049045916,0.43130545,0.073239464,-2.619786275,-2.389818001
0.008625406,-0.015393975,0.09727854,-0.000876522,0.004844485,-0.026219958,0.037774607,0.028183544,0.071718373,0.010786565,-0.802473514,-0.162019366,0.062905209,0.970966795,-0.296334444,-0.17011357,1.030287491,-0.140626149,0.021058844,0.122615906,0.304668604,0.245251968,0.12076077,0.372731717,-0.074898142,-2.451999288,-2.230343686
-0.126346423,-0.418208566,0.320607292,0.342428693,-0.259030492,-0.287226806,0.221945411,-0.074888658,0.072143584,-0.195852267,-0.706851553,-0.19187678,0.125356499,1.203790435,-0.216835979,0.009824859,1.053794989,-0.236543629,-0.012963774,0.198835805,0.274617101,0.203267085,0.09353447,0.413608324,-0.108515939,-2.192582143,-2.272328266
0.014978716,-0.035363283,-0.015640295,-0.02407077,-0.009872715,-0.005104665,-0.012460003,0.028099504,-0.01031415,0.010497487,-0.753406138,-0.136005859,0.189749001,1.371245212,-0.25139858,-0.047972489,1.216362307,-0.138136543,0.049606954,0.160391989,0.271551174,0.24224626,0.109458838,0.828875388,-0.087822033,-2.672061686,-2.504092871
-0.031071261,0.052499111,0.150669932,0.512153468,0.008457248,0.102182295,0.297121156,0.071844526,0.263414701,-0.12247652,-0.807678367,-0.141244472,0.191158727,1.610343731,-0.146454494,-0.100682097,1.247779473,-0.018745183,0.024096398,0.2800452,0.281911882,0.207312514,0.110684851,-0.008516696,-0.150762712,-2.86781502,-2.660783471
-0.107182246,-0.10258429,-0.01573984,0.175881977,-0.181460226,-0.194129692,-0.029229867,-0.002847695,-0.016872107,0.0505408,-0.713387043,-0.133176585,0.103370131,1.341604849,-0.09511538,0.339747245,1.296663356,-0.060054831,0.164647206,0.164116966,0.319571161,0.265424931,0.147401069,0.080099434,-0.253720668,-2.474201737,-2.233849609
