"ID","OBJECTID","Value","Count","WHRALL","LIFE_FORM","WHRNUM","WHRNAME","WHRTYPE","WHRSIZE","WHRDENSITY","WHR10NUM","WHR10NAME","WHR13NUM","WHR13NAME","SOURCE_NAME","SOURCE_YEAR"
0,1,1,944007,"KMC4D","CONIFER",27,"Klamath Mixed Conifer","KMC","4","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
1,2,2,192089,"RFR5D","CONIFER",45,"Red Fir","RFR","5","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
2,3,3,970153,"KMC5D","CONIFER",27,"Klamath Mixed Conifer","KMC","5","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
3,4,4,121047,"RFR4D","CONIFER",45,"Red Fir","RFR","4","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
4,5,5,759575,"DFR5D","CONIFER",14,"Douglas Fir","DFR","5","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
5,6,6,129338,"RFR4M","CONIFER",45,"Red Fir","RFR","4","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
6,7,7,1072547,"DFR5D","CONIFER",14,"Douglas Fir","DFR","5","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
7,8,8,377653,"WFR5D","CONIFER",58,"White Fir","WFR","5","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
8,9,9,1746,"RFR2D","CONIFER",45,"Red Fir","RFR","2","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
9,10,10,767170,"DFR4D","CONIFER",14,"Douglas Fir","DFR","4","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
10,11,11,32352,"MRIXX","SHRUB",37,"Montane Riparian","MRI","X","X",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",2007
11,12,12,300223,"KMC4M","CONIFER",27,"Klamath Mixed Conifer","KMC","4","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
12,13,13,80019,"PGSXX","HERBACEOUS",39,"Perennial Grassland","PGS","X","X",60,"Herbaceous",60,"Herbaceous","CALVEG-NorthCoastNE",2007
13,14,14,16688,"RFR3D","CONIFER",45,"Red Fir","RFR","3","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
14,15,15,1197616,"MCPXX","SHRUB",34,"Montane Chaparral","MCP","X","X",70,"Shrub",70,"Shrub","CALVEG-NorthCoastNE",2007
15,16,16,24567,"RFR3P","CONIFER",45,"Red Fir","RFR","3","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
16,17,17,8303,"RFR3S","CONIFER",45,"Red Fir","RFR","3","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
17,18,18,28432,"RFR3M","CONIFER",45,"Red Fir","RFR","3","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
18,19,19,54580,"RFR5M","CONIFER",45,"Red Fir","RFR","5","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
19,20,20,189109,"KMC3D","CONIFER",27,"Klamath Mixed Conifer","KMC","3","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
20,21,21,49724,"KMC3P","CONIFER",27,"Klamath Mixed Conifer","KMC","3","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
